Sample #,Start time,Thread name,Label,Sample time (ms),Status,Bytes,Sent bytes,Latency,Connect time(ms)
249,14:37.9,Thread Group 1-16,POST send,5960,Success,12694,372,3424,117
250,14:37.9,Thread Group 1-18,POST send,5943,Success,12694,372,3401,97
251,14:38.5,Thread Group 1-30,POST send,8180,Success,12694,372,2697,0
252,14:41.5,Thread Group 1-5,DELETE URL,5268,Success,12694,376,755,79
253,14:43.4,Thread Group 1-38,GET,3332,Success,12501,142,3332,83
254,14:42.4,Thread Group 1-37,GET,4334,Success,12501,142,4334,84
255,14:37.9,Thread Group 1-20,POST send,123759,Warning,601,372,3551,93
256,14:37.9,Thread Group 1-13,POST send,123780,Warning,601,372,3411,107
257,14:37.9,Thread Group 1-12,POST send,123804,Warning,601,372,3429,88
258,14:37.9,Thread Group 1-14,POST send,123780,Warning,601,372,3549,99
259,14:41.3,Thread Group 1-1,POST save,120389,Warning,601,437,274,143
260,14:35.2,Thread Group 1-25,POST send,126450,Warning,601,372,6071,81
261,14:41.3,Thread Group 1-23,GET,120408,Warning,408,142,120408,157
262,14:41.3,Thread Group 1-32,POST send,120427,Warning,408,230,120426,168
263,14:41.4,Thread Group 1-36,GET,120274,Warning,408,142,120274,66
264,14:41.3,Thread Group 1-9,POST save,120390,Warning,601,437,283,131
265,14:37.9,Thread Group 1-29,POST send,123787,Warning,601,372,3544,88
266,14:41.3,Thread Group 1-10,POST save,120389,Warning,601,437,280,131
267,14:41.5,Thread Group 1-34,POST send,120236,Warning,408,230,120236,87
268,14:41.3,Thread Group 1-21,POST save,120407,Warning,601,437,284,141
269,14:41.3,Thread Group 1-4,DELETE URL,120832,Warning,601,376,710,192
270,14:41.3,Thread Group 1-22,DELETE URL,120826,Warning,601,376,703,186
271,14:41.2,Thread Group 1-7,DELETE URL,120867,Warning,601,376,735,206
272,14:35.3,Thread Group 1-3,POST send,126854,Warning,601,372,6674,87
273,14:41.4,Thread Group 1-24,DELETE URL,120762,Warning,601,376,666,93
274,14:37.9,Thread Group 1-27,POST send,124429,Warning,601,372,4265,108
275,14:41.5,Thread Group 1-15,DELETE URL,120847,Warning,601,376,750,72
276,14:43.8,Thread Group 1-2,GET,120295,Warning,408,142,120295,90
277,14:43.8,Thread Group 1-8,GET,120293,Warning,408,142,120293,89
278,14:43.8,Thread Group 1-33,POST send,120320,Warning,408,230,120320,96
279,14:41.3,Thread Group 1-17,POST send,122831,Warning,601,372,2591,149
280,14:41.2,Thread Group 1-11,POST send,122885,Warning,601,372,2645,201
281,14:43.8,Thread Group 1-31,POST send,120290,Warning,408,230,120290,88
282,14:41.3,Thread Group 1-19,POST send,122828,Warning,601,372,2580,146
283,14:43.8,Thread Group 1-35,POST save,120309,Warning,601,437,202,86
284,14:43.8,Thread Group 1-26,DELETE URL,120438,Warning,601,376,345,95
285,14:43.8,Thread Group 1-28,DELETE URL,120676,Warning,601,376,581,82
286,14:43.9,Thread Group 1-18,DELETE URL,120663,Warning,601,376,568,83
287,14:43.8,Thread Group 1-6,DELETE URL,120701,Warning,601,376,589,89
288,14:43.9,Thread Group 1-16,DELETE URL,120685,Warning,601,376,572,87
289,14:44.4,Thread Group 1-39,GET,120174,Warning,408,142,120174,70
290,14:45.4,Thread Group 1-40,GET,120314,Warning,408,142,120314,109
291,14:46.4,Thread Group 1-41,GET,120239,Warning,408,142,120239,81
292,14:46.7,Thread Group 1-5,GET,120189,Warning,408,142,120188,80
293,14:46.8,Thread Group 1-37,POST save,120313,Warning,601,437,204,79
294,14:46.8,Thread Group 1-38,POST save,120334,Warning,601,437,216,79
295,14:46.7,Thread Group 1-30,DELETE URL,120447,Warning,601,376,344,86
296,14:47.4,Thread Group 1-42,GET,120198,Warning,408,142,120198,90
297,14:48.4,Thread Group 1-43,GET,120287,Warning,408,142,120287,110
298,14:49.4,Thread Group 1-44,GET,120310,Warning,408,142,120309,102
299,14:50.4,Thread Group 1-45,GET,120235,Warning,408,142,120235,84
300,14:51.4,Thread Group 1-46,GET,120259,Warning,408,142,120259,103
301,14:52.4,Thread Group 1-47,GET,120284,Warning,408,142,120284,109
302,14:53.4,Thread Group 1-48,GET,120405,Warning,408,142,120405,111
303,14:54.4,Thread Group 1-49,GET,120226,Warning,408,142,120226,83
304,14:55.4,Thread Group 1-50,GET,120250,Warning,408,142,120250,132
305,14:56.4,Thread Group 1-51,GET,120272,Warning,408,142,120272,102
306,14:57.4,Thread Group 1-52,GET,120305,Warning,408,142,120305,100
307,14:58.4,Thread Group 1-53,GET,120219,Warning,408,142,120219,81
308,14:59.4,Thread Group 1-54,GET,120250,Warning,408,142,120250,85
309,15:00.4,Thread Group 1-55,GET,120265,Warning,408,142,120265,125
310,15:01.4,Thread Group 1-56,GET,120291,Warning,408,142,120291,71
311,15:02.4,Thread Group 1-57,GET,120345,Warning,408,142,120345,248
312,15:03.4,Thread Group 1-58,GET,120339,Warning,408,142,120339,82
313,15:04.4,Thread Group 1-59,GET,120264,Warning,408,142,120264,95
314,15:05.4,Thread Group 1-60,GET,120283,Warning,408,142,120283,73
315,15:06.4,Thread Group 1-61,GET,120207,Warning,408,142,120207,103
316,15:07.4,Thread Group 1-62,GET,120335,Warning,408,142,120335,118
317,15:08.4,Thread Group 1-63,GET,120564,Warning,408,142,120564,369
318,15:09.4,Thread Group 1-64,GET,120178,Warning,408,142,120178,84
319,15:10.4,Thread Group 1-65,GET,120200,Warning,408,142,120200,90
320,15:11.4,Thread Group 1-66,GET,120226,Warning,408,142,120226,83
321,15:12.4,Thread Group 1-67,GET,120250,Warning,408,142,120250,72
322,15:13.4,Thread Group 1-68,GET,120270,Warning,408,142,120270,79
323,15:14.4,Thread Group 1-69,GET,120294,Warning,408,142,120294,94
324,15:15.4,Thread Group 1-70,GET,120219,Warning,408,142,120218,82
325,15:16.4,Thread Group 1-71,GET,120241,Warning,408,142,120241,80
326,15:17.4,Thread Group 1-72,GET,120176,Warning,408,142,120176,87
327,15:18.4,Thread Group 1-73,GET,120288,Warning,408,142,120288,81
328,15:19.4,Thread Group 1-74,GET,120214,Warning,408,142,120214,94
